Unknown,"BXP,"Boston
1999,Aflac, Georgia"
1999,Analog Devices, Massachusetts"
1999,Best Buy, Minnesota"
1999,McKesson Corporation, Texas"
1999,Pinnacle West Capital, Arizona"
1999,Qualcomm, California"
1999,U.S. Bancorp, Minnesota"
1999,Vulcan Materials Company, Alabama"
2000,Agilent Technologies, California"
2000,Devon Energy, Oklahoma"
2000,EOG Resources, Texas"
2000,Intuit, California"
2000,MetLife, New York"
2000,NiSource, Indiana"
2000,Rockwell Automation, Wisconsin"
2000,Starbucks, Washington"
2000,Stryker Corporation, Michigan"
2001,Cencora, Pennsylvania"
2001,Cintas, Ohio"
2001,Equity Residential, Illinois"
2001,Fiserv, Wisconsin"
2001,Nvidia, California"
2001,PPL Corporation, Pennsylvania"
2001,Texas Instruments, Texas"
2001,Zimmer Biomet, Indiana"
2002,Comcast, Pennsylvania"
2002,eBay Inc., California"
2002,Electronic Arts, California"
2002,Elevance Health, Indiana"
2002,Goldman Sachs, New York"
2002,Principal Financial Group, Iowa"
2002,Prudential Financial, New Jersey"
2002,Quest Diagnostics, New Jersey"
2002,Simon Property Group, Indiana"
2002,Travelers Companies (The), New York"
2002,United Parcel Service, Georgia"
2002,Valero Energy, Texas"
2002,Waters Corporation, Massachusetts"
2003,Biogen, Massachusetts"
2003,Gen Digital, Arizona"
2003,McCormick & Company, Maryland"
2003,Prologis, California"
2003,State Street Corporation, Massachusetts"
2004,Gilead Sciences, California"
2004,Labcorp, North Carolina"
2004,M&T Bank, New York"
2004,Thermo Fisher Scientific, Massachusetts"
2004,Viatris, Pennsylvania"
2005,Amazon, Washington"
2005,Ameriprise Financial, Minnesota"
2005,Constellation Brands, New York"
2005,D. R. Horton, Texas"
2005,Lennar, Florida"
2005,Public Storage, California"
2005,Tyson Foods, Arkansas"
2006,Alphabet Inc. (Class A), California"
2006,CBRE Group, Texas"
2006,CME Group, Illinois"
2006,Cognizant, New Jersey"
2006,Estée Lauder Companies (The), New York"
2006,Fidelity National Information Services, Florida"
2006,Kimco Realty, New York"
2006,Verisign, Virginia"
2007,Akamai Technologies, Massachusetts"
2007,American Tower, Massachusetts"
2007,Assurant, Georgia"
2007,AvalonBay Communities, Virginia"
2007,C.H. Robinson, Minnesota"
2007,Expeditors International, Washington"
2007,Host Hotels & Resorts, Maryland"
2007,Intercontinental Exchange, Georgia"
2007,Jacobs Solutions, Texas"
2007,Microchip Technology, Arizona"
2008,Amphenol, Connecticut"
2008,CF Industries, Illinois"
2008,DaVita, Colorado"
2008,Fastenal, Minnesota"
2008,Healthpeak Properties, Colorado"
2008,Intuitive Surgical, California"
2008,Invesco, Georgia"
2008,J.M. Smucker Company (The), Ohio"
2008,L3Harris, Florida"
2008,Mastercard, New York"
2008,Philip Morris International, New York"
2008,Republic Services, Arizona"
2008,Salesforce, California"
2008,WEC Energy Group, Wisconsin"
2008,Wynn Resorts, Nevada"
2009,Eversource Energy, Connecticut"
2009,Hormel Foods, Minnesota"
2009,Iron Mountain, New Hampshire"
2009,O’Reilly Automotive, Missouri"
2009,Quanta Services, Texas"
2009,Roper Technologies, Florida"
2009,Ross Stores, California"
2009,Ventas, Illinois"
2009,Visa Inc., California"
2009,Welltower, Ohio"
2010,Berkshire Hathaway, Nebraska"
2010,Chubb Limited, Switzerland"
2010,Johnson Controls, Ireland"
2010,Netflix, California"
2010,NRG Energy, Texas"
2010,Oneok, Oklahoma"
2010,Trane Technologies, Ireland"
2011,Accenture, Ireland"
2011,BlackRock, New York"
2011,Chipotle Mexican Grill, California"
2011,Dollar Tree, Virginia"
2011,Edwards Lifesciences, California"
2011,Freeport-McMoRan, Arizona"
2011,Marathon Petroleum, Ohio"
2011,Mosaic Company (The), Florida"
2011,TE Connectivity, Ireland"
2011,Xylem Inc., New York"
2012,AbbVie, Illinois"
2012,Aptiv, Switzerland"
2012,Crown Castle, Texas"
2012,Dollar General, Tennessee"
2012,Garmin, Switzerland"
2012,Humana, Kentucky"
2012,Kinder Morgan, Texas"
2012,Lam Research, California"
2012,LyondellBasell, Netherlands"
2012,Mondelez International, Illinois"
2012,Monster Beverage, California"
2012,Pentair, United Kingdom"
2012,Phillips 66, Texas"
2013,Allegion, Ireland"
2013,Ametek, Pennsylvania"
2013,Delta Air Lines, Georgia"
2013,General Motors, Michigan"
2013,Meta Platforms, California"
2013,News Corp (Class A), New York"
2013,Regeneron Pharmaceuticals, New York"
2013,Vertex Pharmaceuticals, Massachusetts"
2013,Zoetis, New Jersey"
2014,Alphabet Inc. (Class C), California"
2014,Broadcom, California"
2014,Essex Property Trust, California"
2014,Martin Marietta Materials, North Carolina"
2014,Tractor Supply, Tennessee"
2014,United Rentals, Connecticut"
2014,Universal Health Services, Pennsylvania"
2015,Church & Dwight, New Jersey"
2015,Equinix, California"
2015,HCA Healthcare, Tennessee"
